file_id,pdf_name,processed_at,total_pages,election_type,ballot_type,district,subdistrict,moo,station_number,eligible_voters,voter_turnout,total_ballots,valid_votes,void_ballots,spoiled_ballots,total_is_valid,candidate_sum_valid,validation_message,candidate_sum_message,failure_modes,failure_mode_count,imputed_fields,count_tier,meta_tier,turnout_rate,void_rate,spoil_rate
c4fa5c09fc5ab9be74e6edff1d352489,นอกเขต ชุดที่ 5.pdf,2026-05-06T10:20:08.268789,4,advance_out_of_district,partylist,,,,,,,640.0,640.0,7.0,23.0,False,False,Ballot math mismatch: 640+7+23=670 ≠ 640,Candidate sum mismatch: sum=610 ≠ valid_votes=640,"ballot_math_fail (total=640, valid+void+spoiled=670) | candidate_sum_fail (sum=610, valid_votes=640)",2,,C,M1,,0.0109375,0.0359375
bf198523917948d7c29d2173fbcd7eb6,โตนด น.7.pdf,2026-05-06T14:13:02.631363,4,normal,partylist,อำเภอโนนสูง,ตำบลโตนด,7.0,7.0,489.0,372.0,872.0,353.0,17.0,12.0,False,False,Ballot math mismatch: 353+17+12=382 ≠ 872,Candidate sum mismatch: sum=344 ≠ valid_votes=353,"ballot_math_fail (total=872, valid+void+spoiled=382) | candidate_sum_fail (sum=344, valid_votes=353)",2,,C,M0,0.7607361963190185,0.0194954128440367,0.013761467889908258
cbf7e276dd0e5fbd2e09ba3814cecd57,พลสงคราม น.1 10-2-69 09.59.pdf,2026-05-06T12:28:26.625553,4,normal,partylist,อำเภอโนนสูง,ตำบลพลสงคราม,1.0,1.0,699.0,228.0,383.0,235.0,25.0,8.0,False,False,Ballot math mismatch: 235+25+8=268 ≠ 383,Candidate sum mismatch: sum=340 ≠ valid_votes=235,"ballot_math_fail (total=383, valid+void+spoiled=268) | candidate_sum_fail (sum=340, valid_votes=235)",2,,C,M0,0.3261802575107296,0.06527415143603134,0.020887728459530026
d35798420350c435f6bd9a82f32f3006,มะค่า น.3.pdf,2026-05-09T13:41:13.752983,6,normal,district,อำเภอโนนสูง,ตำบลมะค่า,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,"ocr_missed_candidates:[1, 2, 4, 5, 6] | ocr_extra_candidates:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]",2,,C,M2,,,
cd48f5a3008689f499edb58f6d9e7c22,น.7 ต.กระเบื้องใหญ่ ส.ส.5_18.pdf,2026-05-06T10:28:15.064332,2,normal,district,อำเภอพิมาย,ตำบลกระเบื้องใหญ่,7.0,7.0,400.0,295.0,295.0,293.0,1.0,15.0,False,False,Ballot math mismatch: 293+1+15=309 ≠ 295,Candidate sum mismatch: sum=167 ≠ valid_votes=293,"ballot_math_fail (total=295, valid+void+spoiled=309) | candidate_sum_fail (sum=167, valid_votes=293)",2,,C,M0,0.7375,0.003389830508474576,0.05084745762711865
bbe8a5ee7c5c8e19f66127e6d6a0182d,มะค่า น.13.pdf,2026-05-06T12:44:58.018038,4,normal,partylist,อำเภอโนนสูง,ตำบลมะค่า,12.0,13.0,382.0,178.0,178.0,,11.0,3.0,False,False,Ballot math mismatch: 1674+11+3=1688 ≠ 178,Candidate sum mismatch: sum=164 ≠ valid_votes=1674,"ballot_math_fail (total=178, valid+void+spoiled=1688) | candidate_sum_fail (sum=164, valid_votes=1674)",2,,C,M0,0.46596858638743455,0.06179775280898876,0.016853932584269662
b7f18735305a78ab00ac4d87f4bb629d,ทต.มะค่า น.1.pdf,2026-05-06T15:04:06.660237,4,normal,partylist,อำเภอโนนสูง,ตำบลมะค่า,1.0,1.0,635.0,427.0,427.0,363.0,49.0,28.0,False,False,Ballot math mismatch: 363+49+28=440 ≠ 427,Candidate sum mismatch: sum=353 ≠ valid_votes=363,"ballot_math_fail (total=427, valid+void+spoiled=440) | candidate_sum_fail (sum=353, valid_votes=363)",2,,C,M0,0.6724409448818898,0.11475409836065574,0.06557377049180328
bb5a41b5dbb30109fa72f941f62db271,สส.5ทับ18(บช).pdf,2026-05-06T11:12:47.888609,4,normal,partylist,อำเภอเฉลิมพระเกียรติ,ตำบลท่าช้าง,6.0,4.0,220.0,167.0,167.0,157.0,16.0,0.0,False,False,Ballot math mismatch: 157+16+0=173 ≠ 167,Candidate sum mismatch: sum=137 ≠ valid_votes=157,"ballot_math_fail (total=167, valid+void+spoiled=173) | candidate_sum_fail (sum=137, valid_votes=157)",2,,C,M0,0.759090909090909,0.09580838323353294,0.0
41779a3e1280ef74347917db7d60e61d,มะค่า น.14.pdf,2026-05-06T12:45:50.818932,2,normal,district,อำเภอโนนสูง,ตำบลมะค่า,2.0,14.0,340.0,173.0,173.0,161.0,10.0,7.0,False,True,Ballot math mismatch: 161+10+7=178 ≠ 173,OK,"ballot_math_fail (total=173, valid+void+spoiled=178)",1,,C,M0,0.5088235294117647,0.057803468208092484,0.04046242774566474
253e38f07e33e0b09f3b6e390395bf2f,ลำคอหงษ์ น.2.pdf,2026-05-06T13:15:10.305378,2,normal,district,อำเภอโนนสูง,ตำบลลำคอหงษ์,2.0,2.0,478.0,531.0,530.0,498.0,24.0,5.0,False,True,Ballot math mismatch: 498+24+5=527 ≠ 530,OK,"ballot_math_fail (total=530, valid+void+spoiled=527)",1,,C,M0,1.110878661087866,0.045283018867924525,0.009433962264150943
