file_id,ballot_type,station_number,subdistrict,count_tier,meta_tier,imputed_fields,failure_modes,turnout_rate,void_rate,spoil_rate,dominant_party,RULE_PERFECT_TURNOUT,RULE_ZERO_TOTAL_BALLOTS,RULE_HIGH_VOID_RATE,RULE_HIGH_SPOIL_RATE,RULE_NEGATIVE_RATE,RULE_ALL_ZERO_VOTES,RULE_SINGLE_CANDIDATE_SWEEP,STAT_TURNOUT_Z,STAT_VOID_Z,STAT_SPOIL_Z,STAT_PARTY_DOMINANCE,anomaly_score,is_anomalous
0c325950786cc6260375b4d729903552,partylist,1.0,ตำบลกระเบื้องใหญ่,B,M0,,"candidate_sum_fail (sum=401, valid_votes=404)",0.6696562032884903,0.05803571428571429,0.04017857142857143,,False,False,False,False,False,False,False,False,False,False,False,0,False
0dae1f5a7db14e0e94e82b234c7b48a5,district,,,C,M1,,"ballot_math_fail (total=640, valid+void+spoiled=708) | candidate_sum_fail (sum=511, valid_votes=559)",,0.1359375,0.096875,,False,False,True,False,False,False,False,False,True,False,False,2,True
0dae1f5a7db14e0e94e82b234c7b48a5,partylist,,,C,M1,,"ocr_missed_candidates:[8] | ballot_math_fail (total=60, valid+void+spoiled=92) | candidate_sum_fail (sum=613, valid_votes=60)",,0.15,0.38333333333333336,,False,False,True,True,False,False,False,False,True,True,False,4,True
105480986c2f76e4f498cc266ff3970e,district,11.0,ตำบลขามเฒ่า,C,M0,,"ballot_math_fail (total=109, valid+void+spoiled=107)",0.6055555555555555,0.07339449541284404,0.027522935779816515,,False,False,False,False,False,False,False,False,False,False,False,0,False
105480986c2f76e4f498cc266ff3970e,partylist,11.0,ตำบลขามเฒ่า,C,M0,,"ballot_math_fail (total=107, valid+void+spoiled=109) | candidate_sum_fail (sum=93, valid_votes=99)",0.6993464052287581,0.037383177570093455,0.056074766355140186,,False,False,False,False,False,False,False,False,False,False,False,0,False
11b57cd11651075824a888d72a0d7aac,district,13.0,ตำบลสัมฤทธิ์,A,M0,,,0.6708860759493671,0.03773584905660377,0.06289308176100629,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
138c5ce25c670ea2f3d1b1657a63de58,district,9.0,ตำบลพลสงคราม,C,M0,,"ballot_math_fail (total=324, valid+void+spoiled=328) | candidate_sum_fail (sum=303, valid_votes=301)",0.5311475409836065,0.04938271604938271,0.033950617283950615,,False,False,False,False,False,False,False,False,False,False,False,0,False
138c5ce25c670ea2f3d1b1657a63de58,partylist,9.0,ตำบลพลสงคราม,A,M0,,,0.5377049180327869,0.09451219512195122,0.024390243902439025,ประชาชน,False,False,False,False,False,False,False,False,False,False,False,0,False
1424a7fe85ab76e20aa8dafd9db82a5c,district,6.0,ตำบลท่าช้าง,A,M0,,,0.7698412698412699,0.03436426116838488,0.013745704467353952,ภูมิใจไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
160a1b51005cc1cbb633e9e34b2e36a3,partylist,10.0,ตำบลกระเบื้องใหญ่,B,M0,,"candidate_sum_fail (sum=275, valid_votes=433)",0.7237237237237237,0.05394190871369295,0.04771784232365145,,False,False,False,False,False,False,False,False,False,False,False,0,False
1708b29955dd5ceae78ec06675794ab7,partylist,9.0,ตำบลชีวาน,B,M0,,"candidate_sum_fail (sum=306, valid_votes=279)",0.5614035087719298,0.05625,0.071875,,False,False,False,False,False,False,False,False,False,False,False,0,False
189ea2f4f4a10fa94f74375cb94d9ff1,partylist,5.0,ตำบลชีวาน,C,M0,,"ballot_math_fail (total=197, valid+void+spoiled=194) | candidate_sum_fail (sum=90, valid_votes=165)",0.5878787878787879,0.13705583756345177,0.01015228426395939,,False,False,True,False,False,False,False,False,True,False,False,2,True
190d6d0f36efd27ad5d87ca33aa82497,district,4.0,ตำบลขามเฒ่า,C,M0,,"null_header_field:eligible_voters | ballot_math_fail (total=315, valid+void+spoiled=321)",,0.0380952380952381,0.050793650793650794,,False,False,False,False,False,False,False,False,False,False,False,0,False
190d6d0f36efd27ad5d87ca33aa82497,partylist,4.0,ตำบลขามเฒ่า,C,M0,,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,0.6576200417536534,,,,False,False,False,False,False,False,False,False,False,False,False,0,False
1c8ba052964145649d3fde915d69e1f3,district,1.0,ตำบลลำคอหงษ์,A,M0,,,0.6145833333333334,0.05084745762711865,0.03389830508474576,ภูมิใจไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
1c8ba052964145649d3fde915d69e1f3,partylist,1.0,ตำบลลำคอหงษ์,B,M0,,"ocr_missed_candidates:[30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52] | candidate_sum_fail (sum=15601, valid_votes=106)",0.6145833333333334,0.05084745762711865,0.05084745762711865,,False,False,False,False,False,False,False,False,False,False,False,0,False
1cd37fa4edbbaeb75dd50e502d334240,district,14.0,ตำบลขามเฒ่า,C,M0,,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,0.5766423357664233,,,,False,False,False,False,False,False,False,False,False,False,False,0,False
1cd37fa4edbbaeb75dd50e502d334240,partylist,14.0,ตำบลขามเฒ่า,B,M0,,"candidate_sum_fail (sum=93, valid_votes=140)",0.5766423357664233,0.06962025316455696,0.04430379746835443,,False,False,False,False,False,False,False,False,False,False,False,0,False
1d09187e57d0477f9258c24ff39f001c,district,2.0,ตำบลลำมูล,C,M0,,"null_header_field:total_ballots | null_header_field:void_ballots | ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=289, valid_votes=556)",0.6797066014669927,,,,False,False,False,False,False,False,False,False,False,False,False,0,False
1d09187e57d0477f9258c24ff39f001c,partylist,2.0,ตำบลลำมูล,B,M0,,"candidate_sum_fail (sum=515, valid_votes=513)",0.7286063569682152,0.044964028776978415,0.03237410071942446,,False,False,False,False,False,False,False,False,False,False,False,0,False
1ea5f32e7afe9409dde7761a484c6e42,district,1.0,ตำบลท่าหลวง,A,M0,,null_header_field:eligible_voters,,0.01876675603217158,0.08310991957104558,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
1ec34c1294afa32512d0666a8162c44d,district,1.0,ตำบลสัมฤทธิ์,A,M0,,,0.5882352941176471,0.05945945945945946,0.07027027027027027,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
20298fcae0682f278fa4d66a287dd1dd,district,2.0,ตำบลธารปราสาท,B,M0,,"candidate_sum_fail (sum=503, valid_votes=447)",0.7111111111111111,0.04583333333333333,0.022916666666666665,,False,False,False,False,False,False,False,False,False,False,False,0,False
20298fcae0682f278fa4d66a287dd1dd,partylist,6.0,ตำบลธารปราสาท,C,M0,,"ballot_math_fail (total=480, valid+void+spoiled=500) | candidate_sum_fail (sum=321, valid_votes=427)",0.7111111111111111,0.11666666666666667,0.035416666666666666,,False,False,True,False,False,False,False,False,False,False,False,1,True
21a8c29a910298cacaa5b5acbd74748c,partylist,13.0,ตำบลถ่านคล้า,A,M0,,,0.7161290322580646,0.06306306306306306,0.07207207207207207,ประชาชน,False,False,False,False,False,False,False,False,False,False,False,0,False
223a32f8ad951a6cf6a87628b2b13eaf,district,9.0,ตำบลเมืองปราสาท,B,M0,,"candidate_sum_fail (sum=268, valid_votes=270)",1.083941605839416,0.050505050505050504,0.04040404040404041,,False,False,False,False,False,False,False,False,False,False,False,0,False
223a32f8ad951a6cf6a87628b2b13eaf,partylist,9.0,ตำบลเมืองปราสาท,A,M0,,null_header_field:eligible_voters,,0.06397306397306397,0.016835016835016835,ประชาชน,False,False,False,False,False,False,False,False,False,False,False,0,False
23312792843a819123d59e0984dd9110,district,10.0,ตำบลธารปราสาท,B,M0,,"ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=83, valid_votes=104)",0.7551020408163265,0.06306306306306306,0.0,,False,False,False,False,False,False,False,False,False,False,False,0,False
23312792843a819123d59e0984dd9110,partylist,10.0,ตำบลธารปราสาท,B,M0,,"ocr_missed_candidates:[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29] | candidate_sum_fail (sum=12, valid_votes=101)",0.7551020408163265,0.09009009009009009,0.0,,False,False,False,False,False,False,False,False,False,False,False,0,False
237715788c82c4eb8cb13b5acbcaca68,partylist,8.0,ท่าเรือ,C,M0,,"ballot_math_fail (total=465, valid+void+spoiled=469) | candidate_sum_fail (sum=450, valid_votes=442)",0.7660626029654036,0.021505376344086023,0.03655913978494624,,False,False,False,False,False,False,False,False,False,False,False,0,False
24ce28abf37774d6b54038ecdc87cc08,district,2.0,ตำบลแม่วา,A,M0,total_ballots,null_header_field:total_ballots,0.5071283095723014,0.04152249134948097,0.06228373702422145,ภูมิใจไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
24ce28abf37774d6b54038ecdc87cc08,partylist,2.0,อำเภอเมือง,A,M0,,,5.8979591836734695,0.08304498269896193,0.031141868512110725,ประชาชน,False,False,False,False,False,False,False,True,False,False,False,1,True
