file_id,ballot_type,cluster_label,silhouette_score
334aac39ba974a33d8d5ef758e1efd9f,partylist,0,0.2412220908467922
334e8e5a120b090b2c26b983633f6c17,partylist,0,0.17843315889770567
33eeb061ecc9062a3ba9664b6d33b3b7,district,,
33eeb061ecc9062a3ba9664b6d33b3b7,partylist,3,0.0288688254411057
3595143bd10fbfe0f372ba1e193f2528,district,,
365076b951c1b41187035d7f555bda3d,district,,
365076b951c1b41187035d7f555bda3d,partylist,,
365b8c41c3fa6b9bda430ea828a5dc59,district,0,0.12028573496407369
365b8c41c3fa6b9bda430ea828a5dc59,partylist,3,0.440209577948639
36ab0416cd2744085722e75759428973,district,,
36ab0416cd2744085722e75759428973,partylist,,
36ca5d2ece3f096f6d6f38968a13f0bb,district,0,0.5177469552329024
36cf987c0b8dc650b710d1ad5bb3a733,district,,
36cf987c0b8dc650b710d1ad5bb3a733,partylist,,
37e4e99d0c85867f7e842820070a715a,partylist,,
3a7c9526ca743762296825c63f48c6bf,district,,
3a7c9526ca743762296825c63f48c6bf,partylist,3,0.4273351281209381
3e993a44a161f4ad8cf06a5bbf08935d,partylist,,
3ef6cadc5b8f293dfd78e4323b07934f,partylist,,
4114883eae4a7bd709d003151104fc19,district,0,0.5668223650973633
4114883eae4a7bd709d003151104fc19,partylist,,
41779a3e1280ef74347917db7d60e61d,district,,
41779a3e1280ef74347917db7d60e61d,partylist,,
4213f8122674c1e5556619cad3858ccd,district,0,0.2015169257852696
4213f8122674c1e5556619cad3858ccd,partylist,,
422af586037da65a2124c64bde63300f,district,0,0.15381381175996825
422af586037da65a2124c64bde63300f,partylist,,
422e62148f1c533af1a7fe2ed83b7790,partylist,,
427895a8d3c185db8247f0a2b1b5883a,district,,
42f3ac085363984bb79419b961fb288c,district,,
42f3ac085363984bb79419b961fb288c,partylist,,
42ffe15a76c5f40554214e62b5da7c46,district,,
42ffe15a76c5f40554214e62b5da7c46,partylist,,
43090cf326bff7fde68ed106156a1cca,district,0,0.48568936614222885
43090cf326bff7fde68ed106156a1cca,partylist,3,0.34758328451784287
430d48aa326d60f62f6aaa74c715e0d0,partylist,,
43e9c59b130a34ac0b37492f907bb848,district,,
43e9c59b130a34ac0b37492f907bb848,partylist,,
448285aed146a23ec0d83efee7410591,partylist,,
4523cae4e945fd8b4ee04602fe922c56,district,,
4523cae4e945fd8b4ee04602fe922c56,partylist,,
45bfa9fdb1168621fdbafec0884a479e,district,0,0.4495425869283558
45bfa9fdb1168621fdbafec0884a479e,partylist,,
461ce6504f60f29f828be3b0710f67f4,district,0,0.3987089729738607
461ce6504f60f29f828be3b0710f67f4,partylist,,
46870adde6ac01a0fb1a0390be208363,district,0,0.4876339898849391
46870adde6ac01a0fb1a0390be208363,partylist,,
46a6443f23bf547655d46c931dc01dae,district,,
46a6443f23bf547655d46c931dc01dae,partylist,,
46b0795f82e1c968f10e43732800c209,district,,
46b0795f82e1c968f10e43732800c209,partylist,,
46bb112527a89a53792ad804f3713804,district,,
4786e1cd838a5f2b9562c1a5c135ad1d,partylist,,
48593edb30971a03bd9c47ae8a51eb17,district,0,0.2986206458031944
48593edb30971a03bd9c47ae8a51eb17,partylist,,
488698f247041d19abeb428a9de79053,district,,
488698f247041d19abeb428a9de79053,partylist,,
489959da3c8011d472abc9146bb6ac4f,district,0,0.1807106145309043
489959da3c8011d472abc9146bb6ac4f,partylist,3,0.44112507121612304
495ace2d52dc5538c87ba377476246ab,district,,
495ace2d52dc5538c87ba377476246ab,partylist,,
49c2fca22bc3e0ae30f2ee448fb61429,district,0,0.4066299535402102
49c2fca22bc3e0ae30f2ee448fb61429,partylist,3,0.5084460531696713
49c7877fcf251381e1d03b8d73dbb7ac,district,,
49c7877fcf251381e1d03b8d73dbb7ac,partylist,,
4a553ce82ffddef01becbd2195a88b21,district,0,0.2851228635939823
4ada832d1368f2fef6f877246272581b,district,0,0.5583462687301464
4ada832d1368f2fef6f877246272581b,partylist,,
4bfc6c511899063fdd7e041f27f446cf,district,0,0.4684773293102875
4bfc6c511899063fdd7e041f27f446cf,partylist,3,0.38857032692329013
4c01008bc959b15da905174e6c603efa,district,,
4d4b348318b2904de34d8eabc6ec4327,partylist,,
4d5a069fbfdff3caeabca03540c1ff33,district,,
4d5a069fbfdff3caeabca03540c1ff33,partylist,,
4e4f51f2d7e17788bf418c70d9bc5a77,district,,
4e726109cb45a55f2802cb40a53e44c1,district,0,0.45155848099941015
4e726109cb45a55f2802cb40a53e44c1,partylist,,
5106ffcebba88f2c91869289125b385a,district,0,0.34153475253829696
514a66780878be7ab86758251edba4db,district,,
514a66780878be7ab86758251edba4db,partylist,,
517cd08b7e58ed3bd3b0885e381feeb9,district,0,0.14124124994966578
517cd08b7e58ed3bd3b0885e381feeb9,partylist,,
52e89eafc2ba8694933102e7ad412d64,district,0,0.5072883687178006
5328d57cf0ed6c57a6fcf9123b42521c,,,
54a6533fee5f41a6ac9d3f990ddacdee,district,0,0.06412304712113394
54a6533fee5f41a6ac9d3f990ddacdee,partylist,,
56a6506ea4989c5ba2f0a7e459679643,district,3,0.09577709587528145
56a6506ea4989c5ba2f0a7e459679643,partylist,3,0.34836855155728635
573f138d94c4d896fae7389c15f79181,partylist,,
5821db70132f15cecc2384d634f608f1,district,,
5821db70132f15cecc2384d634f608f1,partylist,3,0.5279543464788824
584ffe8c313526220bdde2b90679af78,district,,
584ffe8c313526220bdde2b90679af78,partylist,,
58766410195c48badd15c53c76e999e7,district,0,0.44042307337488795
58fe7e7e4363d596cb31ec069e7fa728,district,,
58fe7e7e4363d596cb31ec069e7fa728,partylist,,
5a2e41c2be498ab54a71f2eb76b3b2cb,partylist,,
5af4ffc722a633a185184a9201c4f81d,district,,
5af4ffc722a633a185184a9201c4f81d,partylist,,
5b207d9189b0bbb40bb7d638f4eb001a,partylist,0,0.533458451525327
5c45729b16a76c06ef9bfe6b8f71d2c4,district,,
5c45729b16a76c06ef9bfe6b8f71d2c4,partylist,,
5cdf9367f67d15f398caeecded366dab,district,,
5cdf9367f67d15f398caeecded366dab,partylist,3,0.15287722547750907
5cdffd3996c9fa42843d85484efd2e55,partylist,0,0.16456098372054667
5db9b0e863d86b1c3e5ea9503924b58f,district,,
5db9b0e863d86b1c3e5ea9503924b58f,partylist,,
5e36828133dbbe2951c0e954068c27c2,district,,
5ebf621dbb485d453482f62b258a019d,district,0,0.41085205052149515
5fb1b549b1ec14bfede3cc3a3e3303d8,district,0,0.32984299901273656
5fb1b549b1ec14bfede3cc3a3e3303d8,partylist,3,0.29383921353191744
5feac47af840507780d084ad3b70e7e8,partylist,,
6007ac671d31fd77ec6c06ddc9a74934,district,,
6007ac671d31fd77ec6c06ddc9a74934,partylist,,
60b793a6e0a51c5400a8c3a416ffcd27,district,,
61b3912f9808d86660e15554df5b7307,district,0,0.3206463645350097
61b3912f9808d86660e15554df5b7307,partylist,,
621650be07d7f7a7861cd2c995334ca1,district,,
62c281f9f300de1d165c3e8ce9ac801e,district,0,0.5148694750787977
62c281f9f300de1d165c3e8ce9ac801e,partylist,,
62f9566f4b5e25a18e22a0b35c047724,district,0,0.27462332461894257
640872df2fd92b1cf8ee1a6c309d4dce,district,,
65a2d88700b3545bd9008947d18c7504,district,,
6625033d01a375c1f1b204a665886300,district,0,0.5272027640597992
66a38e62fd8014bba8d0c4ed8a89fb8c,district,,
67c7f449bb3c1e170f595deb775f3b49,district,,
67c7f449bb3c1e170f595deb775f3b49,partylist,,
67d65aa7f5208d02d61ee634127892d0,district,,
6888d75039950dcd1d2311e3c4d33212,district,0,0.5260275088850548
6888d75039950dcd1d2311e3c4d33212,partylist,,
69cdb0545163a46fd42e5914500853bb,district,,
