file_id,file_path,page_no,image_path,status
0dae1f5a7db14e0e94e82b234c7b48a5,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.4.pdf,4,pipeline_output/images/0dae1f5a7db14e0e94e82b234c7b48a5/p4.png,pending
0dae1f5a7db14e0e94e82b234c7b48a5,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.4.pdf,5,pipeline_output/images/0dae1f5a7db14e0e94e82b234c7b48a5/p5.png,pending
0dae1f5a7db14e0e94e82b234c7b48a5,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.4.pdf,6,pipeline_output/images/0dae1f5a7db14e0e94e82b234c7b48a5/p6.png,pending
36cf987c0b8dc650b710d1ad5bb3a733,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.5.pdf,1,pipeline_output/images/36cf987c0b8dc650b710d1ad5bb3a733/p1.png,pending
36cf987c0b8dc650b710d1ad5bb3a733,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.5.pdf,2,pipeline_output/images/36cf987c0b8dc650b710d1ad5bb3a733/p2.png,pending
36cf987c0b8dc650b710d1ad5bb3a733,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.5.pdf,3,pipeline_output/images/36cf987c0b8dc650b710d1ad5bb3a733/p3.png,pending
36cf987c0b8dc650b710d1ad5bb3a733,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.5.pdf,4,pipeline_output/images/36cf987c0b8dc650b710d1ad5bb3a733/p4.png,pending
36cf987c0b8dc650b710d1ad5bb3a733,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.5.pdf,5,pipeline_output/images/36cf987c0b8dc650b710d1ad5bb3a733/p5.png,pending
36cf987c0b8dc650b710d1ad5bb3a733,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.5.pdf,6,pipeline_output/images/36cf987c0b8dc650b710d1ad5bb3a733/p6.png,pending
b775f05a2a282d3910b9e16c39eee256,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.6.pdf,1,pipeline_output/images/b775f05a2a282d3910b9e16c39eee256/p1.png,pending
b775f05a2a282d3910b9e16c39eee256,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.6.pdf,2,pipeline_output/images/b775f05a2a282d3910b9e16c39eee256/p2.png,pending
b775f05a2a282d3910b9e16c39eee256,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.6.pdf,3,pipeline_output/images/b775f05a2a282d3910b9e16c39eee256/p3.png,pending
b775f05a2a282d3910b9e16c39eee256,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.6.pdf,4,pipeline_output/images/b775f05a2a282d3910b9e16c39eee256/p4.png,pending
b775f05a2a282d3910b9e16c39eee256,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.6.pdf,5,pipeline_output/images/b775f05a2a282d3910b9e16c39eee256/p5.png,pending
b775f05a2a282d3910b9e16c39eee256,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.6.pdf,6,pipeline_output/images/b775f05a2a282d3910b9e16c39eee256/p6.png,pending
365076b951c1b41187035d7f555bda3d,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.7.pdf,1,pipeline_output/images/365076b951c1b41187035d7f555bda3d/p1.png,pending
365076b951c1b41187035d7f555bda3d,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.7.pdf,2,pipeline_output/images/365076b951c1b41187035d7f555bda3d/p2.png,pending
365076b951c1b41187035d7f555bda3d,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.7.pdf,3,pipeline_output/images/365076b951c1b41187035d7f555bda3d/p3.png,pending
365076b951c1b41187035d7f555bda3d,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.7.pdf,4,pipeline_output/images/365076b951c1b41187035d7f555bda3d/p4.png,pending
365076b951c1b41187035d7f555bda3d,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.7.pdf,5,pipeline_output/images/365076b951c1b41187035d7f555bda3d/p5.png,pending
365076b951c1b41187035d7f555bda3d,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกราชอาณาจักรโนนสูง/ช.7.pdf,6,pipeline_output/images/365076b951c1b41187035d7f555bda3d/p6.png,pending
d58457d381db4a9896996a0537d51635,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกเขต/นอกเขต ชุดที่ 1.pdf,1,pipeline_output/images/d58457d381db4a9896996a0537d51635/p1.png,pending
d58457d381db4a9896996a0537d51635,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกเขต/นอกเขต ชุดที่ 1.pdf,2,pipeline_output/images/d58457d381db4a9896996a0537d51635/p2.png,pending
d58457d381db4a9896996a0537d51635,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกเขต/นอกเขต ชุดที่ 1.pdf,3,pipeline_output/images/d58457d381db4a9896996a0537d51635/p3.png,pending
d58457d381db4a9896996a0537d51635,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกเขต/นอกเขต ชุดที่ 1.pdf,4,pipeline_output/images/d58457d381db4a9896996a0537d51635/p4.png,pending
d58457d381db4a9896996a0537d51635,LA_district5_data_raw/ล่วงหน้านอกเขตและนอกราชอาณาจักร/นอกเขต/นอกเขต ชุดที่ 1.pdf,5,pipeline_output/images/d58457d381db4a9896996a0537d51635/p5.png,pending
